Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
65,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,Bs,3,9,6,,,,1.63,1.46,1.63,17,0.60,487,,487,,,,,,,,,,Humo-Ferric Podzol,bf,,0
66,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,C1,9,42,33,,,,0.00,1.91,1.91,24,0.24,1150,,1150,,,,,,,,,,Humo-Ferric Podzol,C1,,0
67,NRCS (Michaelson et al. 2013),90AK110008,"Loamy-skeletal, mixed Typic Cryorthod",58.489,-134.549,HIGH,NA,NA,NA,C2,42,100,58,,,,0.00,1.91,1.91,39,0.07,472,,472,,,,,,,,,,Humo-Ferric Podzol,C2,,0
68,NRCS (Michaelson et al. 2013),"Forest Point, SMU8135d","Medial, amorphic, ortstein Duric Cryaquod",57.052,-135.731,HIGH,NA,NA,NA,O,0,20,20,33,20,53,0.00,0.11,0.11,,37.79,8314,33852,8314,338.5,85.31,,,,,,,,Humic Podzol,O,,1
69,NRCS (Michaelson et al. 2013),"Forest Point, SMU8135d","Medial, amorphic, ortstein Duric Cryaquod",57.052,-135.731,HIGH,NA,NA,NA,Oe,20,28,8,,,,0.00,0.12,0.12,0,33.45,3211,,3211,,,,,,,,,,Humic Podzol,A,,0
70,NRCS (Michaelson et al. 2013),"Forest Point, SMU8135d","Medial, amorphic, ortstein Duric Cryaquod",57.052,-135.731,HIGH,NA,NA,NA,E,28,33,5,,,,0.00,0.93,0.93,4,8.64,3866,,3866,,,,,,,,,,Humic Podzol,E,,0
71,NRCS (Michaelson et al. 2013),"Forest Point, SMU8135d","Medial, amorphic, ortstein Duric Cryaquod",57.052,-135.731,HIGH,NA,NA,NA,Bhs,33,43,10,,,,0.00,0.86,0.86,4,10.58,8733,,8733,,,,,,,,,,Humic Podzol,Bhf,,0
72,NRCS (Michaelson et al. 2013),"Forest Point, SMU8135d","Medial, amorphic, ortstein Duric Cryaquod",57.052,-135.731,HIGH,NA,NA,NA,C1,43,53,10,,,,0.00,1.74,1.74,22,7.20,9727,,9727,,,,,,,,,,Humic Podzol,C1,,0
73,NRCS (Michaelson et al. 2013),"Forest Point, SMU8135d","Medial, amorphic, ortstein Duric Cryaquod",57.052,-135.731,HIGH,NA,NA,NA,Cd,53,53,0,,,,0.00,1.74,1.74,29,5.38,0,,0,,,,,,,,,,Humic Podzol,Cd,,0
74,NRCS (Michaelson et al. 2013),Tundra Point 8103E,"Medial, amorphic Andic Humicryod",57.052,-135.734,HIGH,NA,NA,NA,O,0,6,6,52,6,58,0.00,0.11,0.11,,37.79,2494,39025,2494,390.2,59.40,,,,,,,,Humic Podzol,O,,1
