SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bhf,-15,-30,15,,,,0.86,39,5.38,4234,,4234,
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bfhgj1,-30,-45,15,,,,0.86,41,3.67,2793,,2793,
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,Bfhgj2,-45,-55,10,,,,0.86,45,3.30,1561,,1561,
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,BCd,-55,-70,15,,,,1.71,44,0.93,1336,,1336,
LEWIS 1976,LW,Duric Ferro-Humic Podzol,50.61666667,-128.05,LOW,274,20,SE,C,-70,-70,0,,,,NA,,0.39,NA,,NA,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,LF,10,7.5,2.5,100,10,110,0.14,,46.61,1631,30636,1631,268.0
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,H,7.5,0,7.5,,,,0.14,,43.16,4532,,4532,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Ae,0,-5,5,,,,1.31,22,1.16,593,,593,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bfh,-5,-20,15,,,,1.46,32,2.98,4438,,4438,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bf1,-20,-35,15,,,,1.46,36,2.59,3630,,3630,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bf2,-35,-50,15,,,,1.46,35,1.63,2320,,2320,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bf3,-50,-65,15,,,,1.46,34,0.85,1229,,1229,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bf4,-65,-80,15,,,,1.46,43,1.96,2447,,2447,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bfgj1,-80,-95,15,,,,1.46,33,2.77,4064,,4064,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,Bfgj2,-95,-110,15,,,,1.46,33,3.92,5752,,1917,
LEWIS 1976,SW,Orthic Humo-Ferric Podzol,48.56666667,-124.3333333,LOW,229,25,N,C,-110,-110,0,,,,NA,,0.43,NA,,NA,
