Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
116,,682,24,G,Gleysolic,,,,,,,Bg,0,-18,18,SL,2,18,0,ESSF,F,,,,1.56,0,1.38,3875,,3875,,,,,,,
117,,682,24,G,Gleysolic,,,,,,,Hb,-18,-22,4,NA,2,4,0,ESSF,F,,,,0.21,0,35.51,2983,,2983,,,,,,,
118,,682,24,G,Gleysolic,,,,,,,Bfg,-22,-28,6,SL,2,6,0,ESSF,F,,,,1.56,0,1.38,1292,,1292,,,,,,,
119,,682,24,G,Gleysolic,,,,,,,IIBCg,-28,-40,12,LS,2,12,0,ESSF,F,,,,1.56,5,1.2,2134,,2134,,,,,,,
120,,682,24,G,Gleysolic,,,,,,,IIIBCg,-40,-60,20,LS,2,20,0,ESSF,F,,,,1.56,15,1.2,3182,,3182,,,,,,,
121,,422,25,NA,NA,49.10057831,121.5631027,,,,,Bf,0,-35,35,SL,2,35,0,CWH,M,,,,0,55,,0,,0,,1,,,,,
122,SEE BEC FILE,418,26,DYB,Brunisolic,49.36936188,121.4380798,HIGH,NA,NA,NA,L,9,8,1,NA,1,0,1,,,40,9,49,0.16,0,37.4,598,7386,598,7386,1,,,,,
123,,418,26,DYB,Brunisolic,,,,,,,Fa,8,2,6,NA,1,0,6,,,,,,0.16,0,37.4,3590,,3590,,,,,,,
124,,418,26,DYB,Brunisolic,,,,,,,Hh,2,0,2,NA,1,0,2,,,,,,0.16,0,30.85,987,,987,,,,,,,
125,,465,26,DYB,Brunisolic,,,,,,,Ah,0,-6,6,LS,2,6,0,CWH,C,,,,1.07,65,3.36,755,,755,,,,,,,
126,,465,26,DYB,Brunisolic,,,,,,,Bfj,-6,-21,15,LS,2,15,0,CWH,C,,,,1.03,75,1.2,464,,464,,,,,,,
127,,465,26,DYB,Brunisolic,,,,,,,Bm,-21,-40,19,S,2,19,0,CWH,C,,,,1.45,70,1.2,992,,992,,,,,,,
128,SEE BEC FILE,300,27,HFP,Podzolic,49.63816833,121.1837997,HIGH,NA,NA,NA,L,7,6,1,NA,1,0,1,,,50,7,57,0.14,0,43.21,605,12326,605,12326,1,,,,,
129,,300,27,HFP,Podzolic,,,,,,,Fm,6,1,5,NA,1,0,5,,,,,,0.14,0,43.21,3025,,3025,,,,,,,
130,,300,27,HFP,Podzolic,,,,,,,H,1,0,1,NA,1,0,1,,,,,,0.14,0,36.65,513,,513,,,,,,,
