Row,HORIZON_ID,LOCATION_ID,HORIZON,HZN_ORG_MIN,UPPER_HZN_LIMIT,HZN_THICKNESS,BULK_DENSITY,DB_MEAS_EST,DB_EST_TYPE,CF_CLASS,CF_VOL_PCT,CF_FINAL,ORG_CARB_PCT,CARB_MEAS_EST,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
161,9955,1890,Ae,Mineral,0,3,1.31,Estimated,LOOKUP_DB,,NA,0,1.2,Estimated,472,,472,
162,9956,1890,Bf,Mineral,3,17,1.46,Estimated,LOOKUP_DB,,65,65,4.65,Measured,4039,,4039,
163,9957,1890,Bhfg,Mineral,20,12,1.57,Estimated,LOOKUP_DB,,NA,0,5.38,Measured,10136,,10136,
164,9958,1890,Rock,Mineral,32,68,NA,NA,NA,,NA,0,NA,NA,NA,,NA,
165,9959,1891,F,Organic,-10,2,0.11,Estimated,LOOKUP_DB,,NA,0,49.2,Estimated,1082,38186,1082,381.9
166,9960,1891,H1,Organic,-8,3,0.11,Estimated,LOOKUP_DB,,NA,0,50.3,Estimated,1660,,1660,
167,9961,1891,H2,Organic,-5,5,0.11,Estimated,LOOKUP_DB,,NA,0,50.3,Estimated,2767,,2767,
168,9962,1891,Ahe,Mineral,0,3,0.93,Estimated,LOOKUP_DB,,40,40,14.42,Measured,2414,,2414,
169,9963,1891,Bhfg1,Mineral,3,15,0.86,Estimated,LOOKUP_DB,,40,40,5.36,Measured,4149,,4149,
170,9964,1891,Bhfg2,Mineral,18,14,0.86,Estimated,LOOKUP_DB,,40,40,6.31,Measured,4558,,4558,
171,9965,1891,Bfg,Mineral,32,8,1.17,Estimated,LOOKUP_DB,,40,40,4.7,Measured,2640,,2640,
172,9966,1891,Bg,Mineral,40,60,0.86,Estimated,LOOKUP_DB,,22,22,4.7,Estimated,18917,,18917,
173,9967,1892,Ah,Mineral,0,4,1.07,Estimated,LOOKUP_DB,,NA,0,15.15,Measured,6484,9036,6484,90.4
174,9968,1892,Bf,Mineral,4,6,1.03,Estimated,LOOKUP_DB,,NA,0,1.9,Measured,1174,,1174,
175,9969,1892,IIBm,Mineral,10,25,1.45,Estimated,LOOKUP_DB,,15,15,0.22,Measured,678,,678,
176,9970,1892,IIC,Mineral,35,65,1.38,Estimated,LOOKUP_DB,,70,70,0.26,Measured,700,,700,
177,9971,1893,LF,Organic,-1,1,0.14,Estimated,LOOKUP_DB,,NA,0,39.5,Estimated,553,30842,553,308.4
178,9972,1893,Ah,Mineral,0,3,1.31,Estimated,LOOKUP_DB,,NA,0,9.1,Estimated,3576,,3576,
179,9973,1893,Bf,Mineral,3,15,1.46,Estimated,LOOKUP_DB,,NA,0,1.86,Measured,4073,,4073,
180,9974,1893,IBf,Mineral,18,20,1.46,Estimated,LOOKUP_DB,,NA,0,3,Measured,8760,,8760,
181,9975,1893,IIBf,Mineral,38,20,1.46,Estimated,LOOKUP_DB,,NA,0,4.69,Measured,13695,,13695,
182,9976,1893,IIIC,Mineral,58,42,1.63,Estimated,LOOKUP_DB,,91,91,0.3,Estimated,185,,185,
183,9977,1894,LF,Organic,-11,1,0.14,Estimated,LOOKUP_DB,,NA,0,39.5,Estimated,553,23605,553,236.0
184,9978,1894,H,Organic,-10,10,0.14,Estimated,LOOKUP_DB,,NA,0,48.82,Measured,6835,,6835,
185,9979,1894,Ae,Mineral,0,3,1.31,Estimated,LOOKUP_DB,,NA,0,1.6,Estimated,629,,629,
186,9980,1894,Bf1,Mineral,3,13,1.46,Estimated,LOOKUP_DB,,NA,0,3.11,Measured,5903,,5903,
187,9981,1894,Bf2,Mineral,16,23,1.46,Estimated,LOOKUP_DB,,NA,0,0.58,Measured,1948,,1948,
188,9982,1894,IIBm,Mineral,39,10,1.19,Estimated,LOOKUP_DB,,NA,0,2.68,Measured,3189,,3189,
189,9983,1894,IIIBm,Mineral,49,14,1.19,Estimated,LOOKUP_DB,,NA,0,1.75,Measured,2916,,2916,
190,9984,1894,IVC,Mineral,63,12,1.63,Estimated,LOOKUP_DB,,30,30,0.3,Estimated,411,,411,
191,9985,1894,VC,Mineral,75,25,1.63,Estimated,LOOKUP_DB,,NA,,0.3,Estimated,1223,,1223,
192,9986,1895,F,Organic,-11,6,0.11,Estimated,LOOKUP_DB,,NA,0,49.2,Estimated,3247,49060,3247,490.6
193,9987,1895,H,Organic,-5,5,0.11,Estimated,LOOKUP_DB,,NA,0,50.3,Estimated,2767,,2767,
194,9988,1895,Ae,Mineral,0,1,0.93,Estimated,LOOKUP_DB,,45,45,3,Estimated,153,,153,
195,9989,1895,Bhf,Mineral,1,11,0.86,Estimated,LOOKUP_DB,,45,45,10.14,Measured,5276,,5276,
196,9990,1895,Bhfg,Mineral,12,38,0.86,Estimated,LOOKUP_DB,,45,45,9.11,Measured,16374,,16374,
197,9991,1895,Bhfg2,Mineral,50,30,0.86,Estimated,LOOKUP_DB,,45,45,9.43,Measured,13381,,13381,
198,9992,1895,Bhfg3,Mineral,80,20,0.86,Estimated,LOOKUP_DB,,45,45,8.31,Measured,7861,,7861,
199,9993,1896,FH,Organic,-24,24,0.11,Estimated,LOOKUP_DB,,NA,0,50.24,Measured,13263,35987,13263,359.9
200,9994,1896,Bhf,Mineral,0,28,0.86,Estimated,LOOKUP_DB,,55,55,12.51,Measured,13556,,13556,
201,9995,1896,Bhf2,Mineral,28,24,0.86,Estimated,LOOKUP_DB,,52,52,6.47,Measured,6410,,6410,
202,9996,1896,Bhfgj,Mineral,52,12,0.86,Estimated,LOOKUP_DB,,70,70,8.3,Estimated,2570,,2570,
203,9997,1896,Cgj,Mineral,64,12,1.74,Estimated,LOOKUP_DB,,70,70,0.3,Estimated,188,,188,
204,9998,1896,Rock,Mineral,76,24,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,
210,10004,1898,Ah,Mineral,0,10,1.31,Estimated,LOOKUP_DB,,NA,0,9.1,Measured,11921,32710,11921,327.1
211,10005,1898,Bfg,Mineral,10,30,1.57,Estimated,LOOKUP_DB,,NA,0,2.76,Measured,13000,,13000,
212,10006,1898,IIBg,Mineral,40,14,1.57,Estimated,LOOKUP_DB,,5,5,0.92,Measured,1921,,1921,
213,10007,1898,IIIBg,Mineral,54,24,1.57,Estimated,LOOKUP_DB,,95,95,0.9,Estimated,170,,170,
214,10008,1898,IVBfg,Mineral,78,22,1.57,Estimated,LOOKUP_DB,,NA,0,1.65,Measured,5699,,5699,
215,10009,1899,H,Organic,-2,2,0.14,Estimated,LOOKUP_DB,,NA,0,50.3,Estimated,1408,14463,1408,144.6
